Accession	Version	Description	Plasmid	Organism	Species	Genus	Family	Order	Class	Phylum	Domain	Collection_date	Geo_location	Isolation_source	Note	Length	GC_content	Replicon_type	MOB_type	Clique	Replicon_candidate
NZ_CP008716	NZ_CP008716.1	Escherichia coli strain ST648 plasmid pEC648_2, complete sequence	pEC648_2	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2009-05-24	39.93 N 116.35 E	Pleural Effusion	NA	5167	0.47455	NA	MOBQ|MOBQ	156	NA
NZ_CP008717	NZ_CP008717.1	Escherichia coli strain ST648 plasmid pEC648_3, complete sequence	pEC648_3	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2009-05-24	39.93 N 116.35 E	Pleural Effusion	NA	4237	0.4076	NA	NA	NA	NA
NZ_CP008718	NZ_CP008718.1	Escherichia coli strain ST648 plasmid pEC648_4, complete sequence	pEC648_4	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2009-05-24	39.93 N 116.35 E	Pleural Effusion	NA	4073	0.516082	NA	MOBQ	174	NA
NZ_CP008719	NZ_CP008719.1	Escherichia coli strain ST648 plasmid pEC648_5, complete sequence	pEC648_5	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2009-05-24	39.93 N 116.35 E	Pleural Effusion	NA	2101	0.47168	Col(BS512)	NA	8	NA
NZ_CP008720	NZ_CP008720.1	Escherichia coli strain ST648 plasmid pEC648_6, complete sequence	pEC648_6	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2009-05-24	39.93 N 116.35 E	Pleural Effusion	NA	1544	0.514896	Col(MG828)	NA	45	NA
NZ_CP008721	NZ_CP008721.1	Escherichia coli strain ST648 plasmid pEC648_7, complete sequence	pEC648_7	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2009-05-24	39.93 N 116.35 E	Pleural Effusion	NA	1459	0.509253	NA	NA	293	NA
NZ_CP008745	NZ_CP008745.1	Salmonella enterica subsp. enterica serovar Typhimurium strain VNP20009 plasmid pSLT_VNP20009, complete sequence	pSLT_VNP20009	Salmonella enterica subsp. enterica serovar Typhimurium	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	93833	0.53105	IncFIB(S)|IncFII(S)	MOBF	550	NA
NZ_CP008789	NZ_CP008789.1	Klebsiella oxytoca KONIH1 plasmid pKOX-137, complete sequence	pKOX-137	Klebsiella oxytoca KONIH1	Klebsiella oxytoca	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2012	USA	perirectal swab	NA	133397	0.521196	IncFIA(HI1)	MOBF	NA	NA
NZ_CP008790	NZ_CP008790.1	Klebsiella oxytoca KONIH1 plasmid pKOX-86d, complete sequence	pKOX-86d	Klebsiella oxytoca KONIH1	Klebsiella oxytoca	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2012	USA	perirectal swab	NA	193725	0.515845	IncA/C2	MOBH	148	NA
NZ_CP008791	NZ_CP008791.1	Klebsiella oxytoca KONIH1 plasmid pKPC-727, complete sequence	pKPC-727	Klebsiella oxytoca KONIH1	Klebsiella oxytoca	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2012	USA	perirectal swab	NA	205586	0.538962	IncFII(Yp)|IncFII(K)	MOBF	NA	NA
NZ_CP008798	NZ_CP008798.1	Klebsiella pneumoniae subsp. pneumoniae KPNIH24 plasmid pKPC-484, complete sequence	pKPC-484	Klebsiella pneumoniae subsp. pneumoniae KPNIH24	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2012	USA	throat/groin	NA	85473	0.55579	IncR	NA	529	NA
NZ_CP008799	NZ_CP008799.1	Klebsiella pneumoniae subsp. pneumoniae KPNIH24 plasmid pKPN-819, complete sequence	pKPN-819	Klebsiella pneumoniae subsp. pneumoniae KPNIH24	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2012	USA	throat/groin	NA	58050	0.485512	IncX3|ColRNAI	MOBC	535	NA
NZ_CP008800	NZ_CP008800.1	Klebsiella pneumoniae subsp. pneumoniae KPNIH24 plasmid pKPN-e44, complete sequence	pKPN-e44	Klebsiella pneumoniae subsp. pneumoniae KPNIH24	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2012	USA	throat/groin	NA	194877	0.5247	IncFIB(K)|IncFII(K)	MOBF	565	NA
NZ_CP008806	NZ_CP008806.1	Escherichia coli O157:H7 str. SS17 plasmid p0157, complete sequence	p0157	Escherichia coli O157:H7 str. SS17	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2010-06-01	35.2 N 97.2 W	Cattle feces	NA	94645	0.4788	IncFIB(AP001918)|IncFII	NA	42	NA
NZ_CP008807	NZ_CP008807.1	Escherichia coli O157:H7 str. SS17 plasmid pSS17, complete sequence	pSS17	Escherichia coli O157:H7 str. SS17	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2010-06-01	35.2 N 97.2 W	Cattle feces	NA	37447	0.397175	pEC4115	NA	195	NA
NZ_CP008809	NZ_CP008809.1	Campylobacter fetus subsp. fetus 04/554 plasmid pCFF04554, complete sequence	pCFF04554	Campylobacter fetus subsp. fetus 04/554	Campylobacter fetus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	NA	NA	Bovine	NA	25862	0.289537	NA	MOBP	360	NA
NZ_CP008811	NZ_CP008811.1	Campylobacter fetus subsp. venerealis 97/608 plasmid pCFV97608-1, complete sequence	pCFV97608-1	Campylobacter fetus subsp. venerealis 97/608	Campylobacter fetus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	NA	Argentina	Bovine	NA	38272	0.313362	NA	NA	NA	NA
NZ_CP008812	NZ_CP008812.1	Campylobacter fetus subsp. venerealis 97/608 plasmid pCFV97608-2, complete sequence	pCFV97608-2	Campylobacter fetus subsp. venerealis 97/608	Campylobacter fetus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	NA	Argentina	Bovine	NA	27124	0.281448	NA	MOBP	NA	NA
NZ_CP008814	NZ_CP008814.1	Enterococcus faecalis ATCC 29212 plasmid 2, complete sequence	2	Enterococcus faecalis ATCC 29212	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	41610	0.342514	rep9	MOBC	NA	NA
NZ_CP008815	NZ_CP008815.1	Enterococcus faecalis ATCC 29212 plasmid 1, complete sequence	1	Enterococcus faecalis ATCC 29212	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	66548	0.328845	repUS11	NA	NA	NA
NZ_CP008817	NZ_CP008817.1	Ochrobactrum anthropi strain OAB plasmid 1, complete sequence	p1	Ochrobactrum anthropi	Ochrobactrum anthropi	Ochrobactrum	Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	155838	0.556713	NA	MOBQ	NA	NA
NZ_CP008818	NZ_CP008818.1	Ochrobactrum anthropi strain OAB plasmid 2, complete sequence	p2	Ochrobactrum anthropi	Ochrobactrum anthropi	Ochrobactrum	Brucellaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	106739	0.541339	NA	NA	NA	NA
NZ_CP008824	NZ_CP008824.1	Enterobacter cloacae ECNIH2 plasmid pKEC-39c, complete sequence	pKEC-39c	Enterobacter cloacae ECNIH2	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2012	USA	sink drain	NA	319976	0.524192	IncA/C2|IncN	MOBF|MOBH	148	NA
NZ_CP008825	NZ_CP008825.1	Enterobacter cloacae ECNIH2 plasmid pKPC-272, complete sequence	pKPC-272	Enterobacter cloacae ECNIH2	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2012	USA	sink drain	NA	282439	0.468834	IncHI2|IncHI2A	MOBH	100	NA
NZ_CP008826	NZ_CP008826.1	Enterobacter cloacae ECNIH2 plasmid pKPC-f91, complete sequence	pKPC-f91	Enterobacter cloacae ECNIH2	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2012	USA	sink drain	NA	47290	0.488793	repA	MOBC	198	NA
NZ_CP008828	NZ_CP008828.1	Klebsiella pneumoniae subsp. pneumoniae KPNIH1 plasmid pAAC154-a50, complete sequence	pAAC154-a50	Klebsiella pneumoniae subsp. pneumoniae KPNIH1	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2011	USA	groin	NA	15096	0.535374	ColRNAI	MOBC	NA	NA
NZ_CP008829	NZ_CP008829.1	Klebsiella pneumoniae subsp. pneumoniae KPNIH1 plasmid pKPN-498, complete sequence	pKPN-498	Klebsiella pneumoniae subsp. pneumoniae KPNIH1	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2011	USA	groin	NA	243824	0.532249	IncFIB(K)|IncFII(K)	NA	565	NA
NZ_CP008830	NZ_CP008830.1	Klebsiella pneumoniae subsp. pneumoniae KPNIH1 plasmid pKpQIL-6e6, complete sequence	pKpQIL-6e6	Klebsiella pneumoniae subsp. pneumoniae KPNIH1	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2011	USA	groin	NA	113639	0.539278	IncFIB(pQil)|IncFII(K)	MOBF	562	NA
NZ_CP008832	NZ_CP008832.1	Klebsiella pneumoniae subsp. pneumoniae KPR0928 plasmid pKPN-294, complete sequence	pKPN-294	Klebsiella pneumoniae subsp. pneumoniae KPR0928	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2012	USA	sputum	NA	13841	0.536811	ColRNAI	MOBC	NA	NA
NZ_CP008833	NZ_CP008833.1	Klebsiella pneumoniae subsp. pneumoniae KPR0928 plasmid pKpQIL-531, complete sequence	pKpQIL-531	Klebsiella pneumoniae subsp. pneumoniae KPR0928	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2012	USA	sputum	NA	113639	0.539287	IncFIB(pQil)|IncFII(K)	MOBF	562	NA
NZ_CP008839	NZ_CP008839.1	Lactobacillus gasseri DSM 14869 plasmid pEB01-1, complete sequence	pEB01-1	Lactobacillus gasseri DSM 14869	Lactobacillus gasseri	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	48922	0.35111	NA	MOBQ	NA	NA
NZ_CP008840	NZ_CP008840.1	Lactobacillus gasseri DSM 14869 plasmid pEB01-2, complete sequence	pEB01-2	Lactobacillus gasseri DSM 14869	Lactobacillus gasseri	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	35660	0.372406	NA	MOBQ	NA	NA
NZ_CP008842	NZ_CP008842.1	Klebsiella michiganensis strain M1 plasmid pKOXM1A, complete sequence	pKOXM1A	Klebsiella michiganensis	Klebsiella michiganensis	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	15-Aug-2012	36.78 N 126.14 E	soil	NA	204468	0.520463	NA	MOBF	NA	NA
NZ_CP008843	NZ_CP008843.1	Klebsiella michiganensis strain M1 plasmid pKOXM1B, complete sequence	pKOXM1B	Klebsiella michiganensis	Klebsiella michiganensis	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	15-Aug-2012	36.78 N 126.14 E	soil	NA	183015	0.530268	NA	NA	NA	NA
NZ_CP008844	NZ_CP008844.1	Klebsiella michiganensis strain M1 plasmid pKOXM1C, complete sequence	pKOXM1C	Klebsiella michiganensis	Klebsiella michiganensis	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	15-Aug-2012	36.78 N 126.14 E	soil	NA	55298	0.531014	NA	NA	361	NA
NZ_CP008845	NZ_CP008845.1	Klebsiella michiganensis strain M1 plasmid pKOXM1D, complete sequence	pKOXM1D	Klebsiella michiganensis	Klebsiella michiganensis	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	15-Aug-2012	36.78 N 126.14 E	soil	NA	3514	0.543825	NA	NA	312	NA
NZ_CP008847	NZ_CP008847.1	Bacillus anthracis strain HYU01 plasmid pX01, complete sequence	pX01	Bacillus anthracis	Bacillus anthracis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	2009	South Korea: Changnyeong	soil	NA	181894	0.325354	NA	MOBC	13	NA
NZ_CP008848	NZ_CP008848.1	Bacillus anthracis strain HYU01 plasmid pX02, complete sequence	pX02	Bacillus anthracis	Bacillus anthracis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	2009	South Korea: Changnyeong	soil	NA	94732	0.330501	rep3	NA	46	NA
NZ_CP008850	NZ_CP008850.1	Acinetobacter baumannii strain AC29 plasmid pAC29a, complete sequence	pAC29a	Acinetobacter baumannii	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	31-Jul-2011	5.31174 N 103.12 E	Endotracheal Secretion	NA	8737	0.343825	NA	NA	NA	NA
NZ_CP008851	NZ_CP008851.1	Acinetobacter baumannii strain AC29 plasmid pAC29b, complete sequence	pAC29b	Acinetobacter baumannii	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	31-Jul-2011	5.31174 N 103.12 E	Endotracheal Secretion	NA	74749	0.343456	NA	NA	178	NA
NZ_CP008877	NZ_CP008877.1	Terribacillus aidingensis strain MP602 plasmid pT1, complete sequence	pT1	Terribacillus aidingensis	Terribacillus aidingensis	Terribacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	10-Oct-2009	30.18 N 119.25 E	plant	NA	88439	0.373184	NA	MOBQ	NA	NA
NZ_CP008890	NZ_CP008890.1	Dermacoccus nishinomiyaensis strain M25 plasmid unnamed, complete sequence	unnamed	Dermacoccus nishinomiyaensis	Dermacoccus nishinomiyaensis	Dermacoccus	Dermacoccaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria	Oct-2011	3.89861 N 101.498 E	HOT SPRING	NA	84621	0.661018	NA	NA	NA	NA
NZ_CP008898	NZ_CP008898.1	Enterobacter cloacae ECNIH3 plasmid pENT-576, complete sequence	pENT-576	Enterobacter hormaechei subsp. hoffmannii ECNIH3	Enterobacter hormaechei	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2011	USA	tracheal aspirate	NA	62247	0.550613	IncR|IncFII(K)	NA	NA	NA
NZ_CP008899	NZ_CP008899.1	Enterobacter cloacae ECNIH3 plasmid pENT-8a4, complete sequence	pENT-8a4	Enterobacter hormaechei subsp. hoffmannii ECNIH3	Enterobacter hormaechei	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2011	USA	tracheal aspirate	NA	255013	0.467094	IncHI2|IncHI2A	MOBH	100	NA
NZ_CP008900	NZ_CP008900.1	Enterobacter cloacae ECNIH3 plasmid pENT-d4a, complete sequence	pENT-d4a	Enterobacter hormaechei subsp. hoffmannii ECNIH3	Enterobacter hormaechei	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2011	USA	tracheal aspirate	NA	60388	0.424786	NA	MOBF	NA	NA
NZ_CP008901	NZ_CP008901.1	Enterobacter cloacae ECNIH3 plasmid pKPC-47e, complete sequence	pKPC-47e	Enterobacter hormaechei subsp. hoffmannii ECNIH3	Enterobacter hormaechei	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2011	USA	tracheal aspirate	NA	50333	0.521725	IncN	MOBF	70	NA
NZ_CP008906	NZ_CP008906.1	Enterobacter cloacae ECR091 plasmid pENT-08e, complete sequence	pENT-08e	Enterobacter hormaechei subsp. hoffmannii ECR091	Enterobacter hormaechei	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2012	USA	urine	NA	176943	0.445714	IncHI2|IncHI2A	MOBH	100	NA
NZ_CP008907	NZ_CP008907.1	Enterobacter cloacae ECR091 plasmid pENT-4bd, complete sequence	pENT-4bd	Enterobacter hormaechei subsp. hoffmannii ECR091	Enterobacter hormaechei	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2012	USA	urine	NA	111227	0.530168	IncFIB(pECLA)|IncFII(pECLA)	NA	NA	NA
NZ_CP008908	NZ_CP008908.1	Enterobacter cloacae ECR091 plasmid pKPC-47e, complete sequence	pKPC-47e	Enterobacter hormaechei subsp. hoffmannii ECR091	Enterobacter hormaechei	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2012	USA	urine	NA	50333	0.521725	IncN	MOBF	70	NA
NZ_CP008919	NZ_CP008919.1	Providencia stuartii strain ATCC 33672 plasmid, complete sequence	unnamed	Providencia stuartii	Providencia stuartii	Providencia	Morganellaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	48866	0.427598	NA	NA	NA	NA
NZ_CP008927	NZ_CP008927.1	Salmonella enterica subsp. enterica serovar Enteritidis strain SEJ plasmid, complete sequence	unnamed	Salmonella enterica subsp. enterica serovar Enteritidis	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	59372	0.519588	IncFIB(S)|IncFII(S)	NA	552	NA
NZ_CP008930	NZ_CP008930.1	Klebsiella pneumoniae strain PMK1 plasmid pPMK1-A, complete sequence	pPMK1-A	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	16-Aug-2011	27.4 N 85.19 E	Blood	NA	187571	0.524633	IncFIB(K)|IncFII(K)	MOBF	565	NA
NZ_CP008931	NZ_CP008931.1	Klebsiella pneumoniae strain PMK1 plasmid pPMK1-B, complete sequence	pPMK1-B	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	16-Aug-2011	27.4 N 85.19 E	Blood	NA	111693	0.491544	IncFIB(pKPHS1)	NA	269	NA
NZ_CP008932	NZ_CP008932.1	Klebsiella pneumoniae strain PMK1 plasmid pPMK1-C, complete sequence	pPMK1-C	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	16-Aug-2011	27.4 N 85.19 E	Blood	NA	69947	0.539723	NA	NA	NA	NA
NZ_CP008933	NZ_CP008933.1	Klebsiella pneumoniae strain PMK1 plasmid pPMK1-NDM, complete sequence	pPMK1-NDM	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	16-Aug-2011	27.4 N 85.19 E	Blood	NA	304526	0.474935	IncHI1B|IncFIB(Mar)	MOBH	105	NA
NZ_CP008935	NZ_CP008935.1	Geobacillus stearothermophilus 10 plasmid, complete sequence	unnamed	Geobacillus stearothermophilus 10	Geobacillus stearothermophilus	Geobacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	NA	NA	NA	NA	21665	0.545857	NA	NA	NA	NA
NZ_CP008942	NZ_CP008942.1	Candidatus Paracaedibacter acanthamoebae isolate PRA3 plasmid, complete sequence	unnamed	Candidatus Paracaedibacter acanthamoebae	Candidatus Paracaedibacter acanthamoebae	Candidatus Paracaedibacter	Candidatus Paracaedibacteraceae	Holosporales	Alphaproteobacteria	Proteobacteria	Bacteria	2009-09-30	NA	NA	NA	15074	0.360157	NA	NA	NA	NA
NZ_CP008945	NZ_CP008945.1	Corynebacterium atypicum strain R2070 plasmid phiCATYP2070I, complete sequence	phiCATYP2070I	Corynebacterium atypicum	Corynebacterium atypicum	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinobacteria	Actinobacteria	Bacteria	NA	United Kingdom: Wales: Cardiff	unknown human clinical source	NA	48068	0.581801	NA	NA	NA	NA
NZ_CP008954	NZ_CP008954.1	Amycolatopsis japonica strain MG417-CF17 plasmid pAmyja1, complete sequence	pAmyja1	Amycolatopsis japonica	Amycolatopsis japonica	Amycolatopsis	Pseudonocardiaceae	Pseudonocardiales	Actinobacteria	Actinobacteria	Bacteria	NA	Japan	soil	NA	92539	0.682296	NA	NA	NA	NA
NZ_CP008958	NZ_CP008958.1	Escherichia coli O157:H7 str. EDL933 plasmid, complete sequence	unnamed	Escherichia coli O157:H7 str. EDL933	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA	92076	0.476367	IncFIB(AP001918)|IncFII	NA	42	NA
NZ_CP008987	NZ_CP008987.1	Xanthomonas citri subsp. citri strain UI7 plasmid pXAC33, complete sequence	pXAC33	Xanthomonas citri pv. citri	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	2011	China: Guangxi	citrus infected tissue	NA	33703	0.61861	NA	NA	503	NA
NZ_CP008988	NZ_CP008988.1	Xanthomonas citri subsp. citri strain UI7 plasmid pXAC64, complete sequence	pXAC64	Xanthomonas citri pv. citri	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	2011	China: Guangxi	citrus infected tissue	NA	64920	0.613925	NA	MOBF	504	NZ_CP020888_position:41561-42781
NZ_CP008990	NZ_CP008990.1	Xanthomonas citri subsp. citri UI6 plasmid pXAC33, complete sequence	pXAC33	Xanthomonas citri subsp. citri UI6	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	2011	China: Guangxi	citrus infected tissue	NA	33703	0.61861	NA	NA	503	NA
NZ_CP008991	NZ_CP008991.1	Xanthomonas citri subsp. citri UI6 plasmid pXAC64, complete sequence	pXAC64	Xanthomonas citri subsp. citri UI6	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	2011	China: Guangxi	citrus infected tissue	NA	64920	0.613956	NA	MOBF	504	NZ_CP020888_position:41561-42781
NZ_CP008993	NZ_CP008993.1	Xanthomonas citri subsp. citri strain NT17 plasmid pXAC33, complete sequence	pXAC33	Xanthomonas citri pv. citri	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	2011	USA: Florida	citrus infected tissue	NA	28776	0.61732	NA	NA	503	NA
NZ_CP008994	NZ_CP008994.1	Xanthomonas citri subsp. citri strain NT17 plasmid pXAC64, complete sequence	pXAC64	Xanthomonas citri pv. citri	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	2011	USA: Florida	citrus infected tissue	NA	64920	0.613909	NA	MOBF	504	NZ_CP020888_position:41561-42781
NZ_CP008996	NZ_CP008996.1	Xanthomonas citri subsp. citri strain MN12 plasmid pXAC33, complete sequence	pXAC33	Xanthomonas citri pv. citri	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	1997	USA: Florida	citrus infected tissue	NA	33703	0.618639	NA	NA	503	NA
NZ_CP008997	NZ_CP008997.1	Xanthomonas citri subsp. citri strain MN12 plasmid pXAC64, complete sequence	pXAC64	Xanthomonas citri pv. citri	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	1997	USA: Florida	citrus infected tissue	NA	63721	0.613424	NA	MOBF	504	NZ_CP020888_position:41561-42781
NZ_CP008999	NZ_CP008999.1	Xanthomonas citri subsp. citri strain MN11 plasmid pXAC33, complete sequence	pXAC33	Xanthomonas citri pv. citri	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	USA: Florida	citrus infected tissue	NA	33703	0.618669	NA	NA	503	NA
NZ_CP009000	NZ_CP009000.1	Xanthomonas citri subsp. citri strain MN11 plasmid pXAC64, complete sequence	pXAC64	Xanthomonas citri pv. citri	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	USA: Florida	citrus infected tissue	NA	63721	0.613393	NA	MOBF	504	NZ_CP020888_position:41561-42781
NZ_CP009002	NZ_CP009002.1	Xanthomonas citri subsp. citri strain MN10 plasmid pXAC33, complete sequence	pXAC33	Xanthomonas citri pv. citri	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	2005	USA: Florida	citrus infected tissue	NA	33702	0.618687	NA	NA	503	NA
NZ_CP009003	NZ_CP009003.1	Xanthomonas citri subsp. citri strain MN10 plasmid pXAC64, complete sequence	pXAC64	Xanthomonas citri pv. citri	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	2005	USA: Florida	citrus infected tissue	NA	63721	0.613408	NA	MOBF	504	NZ_CP020888_position:41561-42781
NZ_CP009005	NZ_CP009005.1	Xanthomonas citri subsp. citri strain mf20 plasmid pXAC33, complete sequence	pXAC33	Xanthomonas citri pv. citri	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	2011	USA: Florida	citrus infected tissue	NA	26933	0.616047	NA	NA	503	NA
NZ_CP009006	NZ_CP009006.1	Xanthomonas citri subsp. citri strain mf20 plasmid pXAC64, complete sequence	pXAC64	Xanthomonas citri pv. citri	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	2011	USA: Florida	citrus infected tissue	NA	64920	0.613894	NA	MOBF	504	NZ_CP020888_position:41561-42781
